City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,boldumsaz,42.1282,59.671,-0.97,38,100,8.42,TM,1701928117
325,pitimbu,-7.4706,-34.8086,25.33,79,36,2.41,BR,1701928118
326,labuan,5.2767,115.2417,31.2,70,20,1.54,MY,1701928119
327,ibotirama,-12.1853,-43.2206,21.54,71,6,1.35,BR,1701928120
328,ialibu,-6.2821,143.9935,16.49,95,94,1.57,PG,1701928121
329,erdenet,49.0333,104.0833,0.98,52,61,10.95,MN,1701928122
330,gadzhiyevo,69.2551,33.3362,-15.45,97,70,5.69,RU,1701928123
331,san luis,-33.295,-66.3356,16.67,42,0,2.28,AR,1701928124
332,uvira,-3.4067,29.1458,22.07,73,38,2.23,CD,1701928125
333,atafu village,-8.5421,-172.5159,29.24,75,82,3.52,TK,1701928126
334,pagar alam,-4.0167,103.2667,26.13,85,95,0.68,ID,1701928128
335,sake,-1.5736,29.045,18.34,86,41,0.66,CD,1701928129
336,mana,5.6592,-53.7767,24.88,91,59,3.69,GF,1701928129
337,menongue,-14.6585,17.691,22.43,65,87,2.05,AO,1701928131
338,guanare,9.0418,-69.7421,23.42,65,99,1.47,VE,1701928132
339,gumdag,39.2061,54.5906,7.98,54,77,10.04,TM,1701928134
340,sierra grande,-41.606,-65.3557,14.56,86,73,1.6,AR,1701928135
341,norfolk,42.1668,-71.2495,-2.69,80,0,2.06,US,1701928136
342,fortuna,40.5982,-124.1573,9.64,95,18,1.34,US,1701928137
343,boende,-0.2167,20.8667,21.94,98,100,0.7,CD,1701928138
344,taunusstein,50.15,8.15,-0.19,95,75,0.0,DE,1701928139
345,celestun,20.8667,-90.4,22.87,72,100,5.12,MX,1701928140
346,mirnyy,62.5353,113.9611,-42.65,64,85,0.22,RU,1701928141
347,bukoba,-1.3317,31.8122,19.99,77,75,0.0,TZ,1701928142
348,oltinko'l,40.8011,72.1634,11.53,38,69,1.18,UZ,1701928143
349,bria,6.5423,21.9863,24.51,72,100,0.85,CF,1701928144
350,puerto ayacucho,5.6639,-67.6236,25.92,78,100,0.08,VE,1701928145
351,bargarh,21.3333,83.6167,20.14,91,100,0.95,IN,1701928146
352,wuchang,44.9143,127.15,-9.83,78,2,2.68,CN,1701928147
353,itoman,26.1247,127.6694,23.43,52,20,5.66,JP,1701928148
354,sibolga,1.7427,98.7792,26.32,90,99,1.21,ID,1701928149
355,ulsteinvik,62.3432,5.8487,2.4,72,92,2.68,NO,1701927895
356,port-vila,-17.7338,168.3219,26.78,83,75,6.17,VU,1701928150
357,buka,40.8108,69.1986,7.88,62,100,1.51,UZ,1701928151
358,nuuk,64.1835,-51.7216,6.34,33,94,8.75,GL,1701928152
359,vernon,50.2581,-119.2691,6.45,95,100,0.51,CA,1701928153
